cycle_accounts,flagged,span_minutes,amount_ratio
merchant_b78292ed4a;merchant_77716d620a;merchant_4e5fd050a9;merchant_b851e6e672,True,14.04,0.855
merchant_ebc3ad2876;merchant_3f5bb51e0a;merchant_a5af62ed0e;merchant_3c9c1002b7;merchant_5a70b9c0b4,True,17.85,0.798
merchant_e85940cb8e;merchant_30f8830764;merchant_1edb3557cc;merchant_4fbae19fbb;merchant_76ab5a5ac5;merchant_c40b6efcea;merchant_4314227986;merchant_344ae5032f,True,53.18,0.631
merchant_5dd55f4db6;merchant_8d804dd46b;merchant_3ff0e9ee3f;merchant_25a6bf7aff;merchant_f2303f7489,True,23.26,0.709
merchant_70e9c268fe;merchant_c1631590a3;merchant_c3191222b9;merchant_b2eccdbd7e,True,45.25,0.817
merchant_3bd700ca8c;merchant_279d559e80;merchant_cf56c3fe41;merchant_f964fd38a3,True,14.94,0.837
